scenario,effort
long_distance,2166.778039654806
dodge,439.5721898807333
bystander,0
stays_put,228.75225952625166
short_distance,857.7262557757596
med_push,3308.2120573817215
long_push,4199.055698653904
push_patient,708.0210805873983
double_push,3865.5213701521743
